scenario,method,n_train,eta,delta,lambda,true_value,true_regret,q05_value,cvar10_value,emp_nominal_value,emp_robust_value,emp_true_value,gamma_u,match_rate,selected_u_raw,hotspot_treat1_rate,lcb,coverage,gap,epsilon,kl_to_prior,rep_seed,replication
S0,pac_robust_gibbs,200,0.3,0.05,nan,0.5386211653941281,0.003972328468202169,0.28975910446268444,0.2773470145761563,0.6711805273096998,0.6711805273096998,0.6711805273096998,0.0,0.6209299022850464,0.0,0.13114116432824074,0.4557477062809955,1.0,0.0828734591131326,0.5,1.2172523573071385,3324115916,1
S0,pac_nominal_gibbs,200,1.0,nan,nan,0.5424734061647412,0.00012008769758908855,0.27052645399880076,0.25823561119767946,0.6868351403689889,0.6868351403689889,0.6868351403689889,0.0,0.6332712640021279,0.0,0.11819055542244873,nan,nan,nan,0.5,1.8667244597794428,3324115916,1
S0,pac_robust_gibbs,200,1.0,0.2,nan,0.5424734061647412,0.00012008769758908855,0.27052645399880076,0.25823561119767946,0.6868351403689889,0.6868351403689889,0.6868351403689889,0.0,0.6332712640021279,0.0,0.11819055542244873,0.40207351664685353,1.0,0.14039988951788762,0.5,1.8667244597794428,3324115916,1
S0,pac_robust_gibbs,200,1.0,0.1,nan,0.5424734061647412,0.00012008769758908855,0.27052645399880076,0.25823561119767946,0.6868351403689889,0.6868351403689889,0.6868351403689889,0.0,0.6332712640021279,0.0,0.11819055542244873,0.3951420448412541,1.0,0.14733136132348706,0.5,1.8667244597794428,3324115916,1
S0,pac_robust_gibbs,200,1.0,0.05,nan,0.5424734061647412,0.00012008769758908855,0.27052645399880076,0.25823561119767946,0.6868351403689889,0.6868351403689889,0.6868351403689889,0.0,0.6332712640021279,0.0,0.11819055542244873,0.38821057303565465,1.0,0.1542628331290865,0.5,1.8667244597794428,3324115916,1
S0,pac_nominal_gibbs,200,3.0,nan,nan,0.5425150971406157,7.839672171450207e-05,0.270019714973858,0.257732848479002,0.686971221999087,0.686971221999087,0.686971221999087,0.0,0.6335340465704973,0.0,0.11814978563265542,nan,nan,nan,0.5,1.8857729430425783,3324115916,1
S0,pac_robust_gibbs,200,3.0,0.2,nan,0.5425150971406157,7.839672171450207e-05,0.270019714973858,0.257732848479002,0.686971221999087,0.686971221999087,0.686971221999087,0.0,0.6335340465704973,0.0,0.11814978563265542,-0.07467948085250187,1.0,0.6171945779931176,0.5,1.8857729430425783,3324115916,1
S0,pac_robust_gibbs,200,3.0,0.1,nan,0.5425150971406157,7.839672171450207e-05,0.270019714973858,0.257732848479002,0.686971221999087,0.686971221999087,0.686971221999087,0.0,0.6335340465704973,0.0,0.11814978563265542,-0.07698997145436826,1.0,0.619505068594984,0.5,1.8857729430425783,3324115916,1
S0,pac_robust_gibbs,200,3.0,0.05,nan,0.5425150971406157,7.839672171450207e-05,0.270019714973858,0.257732848479002,0.686971221999087,0.686971221999087,0.686971221999087,0.0,0.6335340465704973,0.0,0.11814978563265542,-0.07930046205623476,1.0,0.6218155591968505,0.5,1.8857729430425783,3324115916,1
S0,owl_standard,200,nan,nan,0.01,0.5256742728067537,-0.00011710203512771411,0.2523302715640533,0.24342032835331318,0.7267448264144258,0.7267448264144258,0.7267448264144258,0.0,0.695,0.0,0.1901,nan,nan,nan,0.5,,2811363264,2
